id,category,name,price,discount_rate,sizes,is_new,is_best,is_foru,tags,image_url
1001,shoes01,[오찌x우무] 비들 레인부츠 크림 FLOTGS2W21,50330,28,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,FALSE,TRUE,단독,
1002,shoes01,토피 플랫폼 슬라이드 별자수 블랙 FLOTGA2W27,63920,20,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,FALSE,,
1003,shoes01,[오찌x우무] 비들 레인부츠 말차 FLOTGS2W19,50330,28,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,FALSE,FALSE,단독,
1004,shoes01,코브스 플립플랍 화이트 FLOTGS2W23,31920,20,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,FALSE,TRUE,단독,
1005,shoes01,코브스 플립플랍 베이지 FLOTGS2W25,31920,20,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,FALSE,FALSE,단독,
1006,shoes01,로미타 플랫폼 밴딩 메리제인 슈즈 블랙 FLOTGA1W32,71120,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,FALSE,FALSE,,
1007,shoes01,로마리 레이스업 스니커즈 아이보리 FLOTGA1W57,80910,10,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,TRUE,FALSE,멤버스데이,
1008,shoes01,로마리 레이스업 스니커즈 아이보리 FLOTGA1W18,51140,36,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,TRUE,FALSE,,
1009,shoes01,로마리 레이스업 스니커즈 블랙 / FLOTGA1W17,71910,10,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,FALSE,,
1010,shoes01,[오찌x로파서울] 토피 스웨이드 클로그 FLOTGA1W49,63920,20,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,FALSE,"쿠폰, 멤버스데이",
1011,shoes01,로마리 밴딩 SE 스니커즈 블랙 / FLOTGA1W56,89900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,FALSE,,
1012,shoes01,로마리 레이스업 스니커즈 실버 FLOTGA1W19,71910,10,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,FALSE,,
1013,shoes01,3300 컨버스 하이 코어 크림 FLOTGA0U04,129000,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,FALSE,,
1014,shoes01,로미타 플랫폼 스니커즈 아이보리 FLOTGA0W01,69900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,TRUE,FALSE,,
1015,shoes01,로미타 플랫폼 샌들 블랙 FLOTGS2W06,45830,23,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,FALSE,,
1016,shoes01,로마리 밴딩 플랫 스니커즈 다크 그레이 / FLOTGA1W12,79900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,TRUE,FALSE,멤버스데이,
1017,shoes01,로마리 레이스업 스니커즈 그레이 FLOTGA1W43,89900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,FALSE,,
1018,shoes01,로미타 플랫폼 샌들 화이트 FLOTGS2W07,45830,23,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,TRUE,FALSE,,
1019,shoes01,로마리 밴딩 플랫 스니커즈 화이트 / FLOTGA1W13,79900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,FALSE,,
1020,shoes01,로마리 밴딩 플랫 스니커즈 라이트 베이지 FLOTGA1W14,79900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,TRUE,FALSE,,
1021,shoes01,로미타 플랫폼 샌들 핑크 FLOTGS2W09,45830,23,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,FALSE,FALSE,,
1022,shoes01,[오찌x우무] 비들 레인부츠 초코 FLOTGS2W20,62910,10,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,FALSE,,
1023,shoes01,3300 캔버스 로우 블랙 FLOTGA0U01,99000,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,FALSE,FALSE,"쿠폰, 멤버스데이",
1024,shoes01,로마리 스웨이드 밴딩플랫 스니커즈 모카무스 FLOTFA3W58,89900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,FALSE,FALSE,멤버스데이,
1025,shoes01,로마리 발레리나 스트링 메리제인 블랙 FLOTGA1W70,89900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,FALSE,,
1026,shoes01,로마리 레이스업 스니커즈 브라운 FLOTGA1W41,89900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,FALSE,FALSE,쿠폰,
1027,shoes02,로마리 발레리나 스트링 메리제인 아이보리 FLOTGA1W72,89900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,FALSE,FALSE,,
1028,shoes02,3300 컨버스 하이 올 블랙 FLOTGA0U06,129000,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,FALSE,,
1029,shoes02,3300 컨버스 하이 코어 블랙 FLOTGA0U05,129000,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,FALSE,"쿠폰, 멤버스데이",
1030,shoes02,[서지수 착용] 로마리 밴딩 SE 스니커즈 핑크 FLOTGA1W60,89900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,FALSE,,
1031,shoes02,로마리 발레리나 스트링 메리제인 라이트그레이 FLOTGA1W71,89900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,FALSE,FALSE,멤버스데이,
1032,shoes02,로마리 밴딩 SE 스니커즈 다크 브라운 FLOTGA1W59,89900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,TRUE,,
1033,shoes02,코브스 플립플랍 실버 FLOTGS2W31,39900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,FALSE,FALSE,멤버스데이,
1034,shoes02,로미타 플랫폼 밴딩 메리제인 슈즈 FLOTFA3W33,79900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,FALSE,TRUE,,
1035,shoes02,로미타 플랫폼 벨크로 메리제인슈즈 블랙 FLOTGA1W05,45830,23,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,FALSE,FALSE,,
1036,shoes02,[오찌x론론] 로미타 플랫폼 밴딩 메리제인 슈즈 FLOTFA3W36,79900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,FALSE,,
1037,shoes02,로마리 레이스업 스니커즈 블랙 FLOTGA1W40,89900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,FALSE,,
1038,shoes02,로마리 스웨이드 레이스업 스니커즈 아이보리 FLOTFA3W42,89900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,FALSE,TRUE,,
1039,shoes02,로미타 플랫폼 벨크로 메리제인슈즈 화이트 / FLOTGA1W38,59900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,FALSE,,
1040,shoes02,로미타 플랫폼 벨크로 스니커즈 실버 / FLOTGA1W39,45830,23,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,FALSE,FALSE,,
1041,shoes02,로미타 플랫폼 벨크로 메리제인슈즈 브라운 / FLOTGA1W41,59900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,FALSE,FALSE,,
1042,shoes02,코브스 플립플랍 라이트그레이 FLOTGS2W24,31920,20,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,TRUE,TRUE,,
2001,bag,오간자 리본 숄더백 실버 FLOTGA3B03,71910,10,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,FALSE,FALSE,멤버스데이,
2002,bag,[:DOT EDITION] 도트 나일론 숄더백 FLOTGA1B02,40300,20,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,FALSE,FALSE,,
2003,bag,스웨이드 숄더백 블랙 FLOTFA3B08,69900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,FALSE,FALSE,,
2004,bag,말리부 글로시 숄더백 블랙 FLOTGA1B04,59900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,TRUE,FALSE,,
2005,bag,말리부 글로시 숄더백 라이트 그레이 FLOTGA1B05,59900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,FALSE,FALSE,,
2006,bag,투웨이 월렛백 실버 FLOTGA1B09,49900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,FALSE,FALSE,,
2007,bag,투웨이 월렛백 블랙 FLOTGA1B08,49900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,TRUE,FALSE,,
2008,bag,[:DOT EDITION] 도트 스트링 백팩 FLOTGA1B03,61130,23,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,FALSE,FALSE,,
2009,bag,[오찌X로파서울] 도트 에코백 FLOTFA3B12,39900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,FALSE,FALSE,멤버스데이,
3001,acc,썸머 시스루 레그 워머 FLOTFA2L32,12900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,FALSE,FALSE,,
3002,acc,[:DOT EDITION] 도트 투웨이 볼캡 FLOTGA1H01,30530,23,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,TRUE,FALSE,,
3003,acc,피스모 볼캡 그린 FLOTFA1H37,29900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,FALSE,FALSE,,
3004,acc,쉬폰 헤어 스크런치 FLOTFA1A30,12900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,TRUE,FALSE,,
3005,acc,레이스 스크런치 블랙 FLOTGA2A11,15900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,FALSE,FALSE,,
3006,acc,플로럴 헤어 스크런치 블랙 FLOTGA1A06,13520,15,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",TRUE,FALSE,FALSE,,
3007,acc,니트 레그 워머 FLOTFA1L04,14310,10,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,TRUE,FALSE,"쿠폰, 멤버스데이",
3008,acc,니트 레그 워머 FLOTFA1L05,14310,10,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,FALSE,FALSE,멤버스데이,
3009,acc,피스모 볼캡 핑크 FLOTFA1H38,29900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,FALSE,FALSE,,
3010,acc,썸머 니트 버킷 햇 FLOTFA2H19,39900,,"{""220"":30, ""230"":30, ""240"":30, ""250"":30, ""260"":30}",FALSE,FALSE,FALSE,,